Thread ID: 109440
Total: 0.037897

 %self     total     self     wait    child    calls  name
  0.07      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.07      0.00     0.00     0.00     0.00        8  Kernel#freeze
  0.07      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Base#template_exists?
  0.07      0.00     0.00     0.00     0.00        2  ActionView::Base#request
  0.07      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.07      0.00     0.00     0.00     0.00        1  ActionView::Base#_set_controller_content_type
  0.07      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.07      0.02     0.00     0.00     0.02        1  ActionController::Dispatcher#dispatch_unlocked
  0.07      0.00     0.00     0.00     0.00        1  CGI::QueryExtension#key?
  0.07      0.00     0.00     0.00     0.00        2  ActionController::AbstractRequest#query_parameters
  0.07      0.00     0.00     0.00     0.00        1  ActionController::CGIWrapper#initialize
  0.07      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.07      0.00     0.00     0.00     0.00        9  Float#-
  0.07      0.00     0.00     0.00     0.00        1  <Module::Marshal>#load
  0.07      0.00     0.00     0.00     0.00        1  ActionController::SessionManagement#set_session_options_without_components
  0.07      0.00     0.00     0.00     0.00        2  ActionView::PathSet::Path#[]
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Base#send_response
  0.07      0.01     0.00     0.00     0.01        1  ActionController::Base#process
  0.07      0.00     0.00     0.00     0.00        1  ActionController::RackResponse#prepare!
  0.07      0.00     0.00     0.00     0.00        1  ActionView::Base#_exempt_from_layout?
  0.07      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#content_length
  0.07      0.00     0.00     0.00     0.00        1  ActionController::StatusCodes#interpret_status
  0.07      0.00     0.00     0.00     0.00        1  CGI::Session::CookieStore#restore
  0.07      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.07      0.00     0.00     0.00     0.00        1  ActiveSupport::CoreExtensions::Hash::Except#except!
  0.07      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#path
  0.07      0.00     0.00     0.00     0.00        1  ActionController::RackResponse#set_content_length!
  0.07      0.00     0.00     0.00     0.00        3  <Class::ActionController::Base>#relative_url_root
  0.06      0.00     0.00     0.00     0.00        2  HashWithIndifferentAccess#include?
  0.06      0.00     0.00     0.00     0.00        5  Array#join
  0.06      0.02     0.00     0.00     0.02        1  ActionController::Dispatcher#call
  0.06      0.00     0.00     0.00     0.00        7  <Class::Time>#allocate
  0.06      0.01     0.00     0.00     0.01        1  ActionController::Filters::InstanceMethods#perform_action_without_benchmark
  0.06      0.00     0.00     0.00     0.00        1  #<Class:0x23c4464>#first
  0.06      0.00     0.00     0.00     0.00        6  Kernel#String
  0.06      0.00     0.00     0.00     0.00        2  ActionView::Helpers::TagHelper#escape_once
  0.06      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#protocol
  0.06      0.00     0.00     0.00     0.00        1  ActionController::RackResponse#convert_content_type!
  0.06      0.00     0.00     0.00     0.00        1  ActionController::RackRequest#session
  0.06      0.00     0.00     0.00     0.00        1  <Class::ActionView::Base>#process_view_paths
  0.06      0.00     0.00     0.00     0.00        1  ActionController::RackRequest#query_string
  0.06      0.00     0.00     0.00     0.00        1  ActionController::CgiExt::Stdinput#initialize
  0.06      0.00     0.00     0.00     0.00        6  String#hash
  0.06      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#host
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Filters::InstanceMethods#run_after_filters
  0.06      0.00     0.00     0.00     0.00        1  ActionController::AbstractResponse#prepare!
  0.06      0.00     0.00     0.00     0.00        7  String#downcase
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Flash::FlashHash#sweep
  0.06      0.00     0.00     0.00     0.00        6  Kernel#instance_variable_set
  0.06      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#_unmemoized_request_method
  0.06      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#master_helper_module
  0.06      0.00     0.00     0.00     0.00        1  CGI::Session::CookieStore#marshal
  0.06      0.00     0.00     0.00     0.00        1  Class#new_without_capture
  0.06      0.00     0.00     0.00     0.00        6  Object#initialize
  0.06      0.00     0.00     0.00     0.00        1  ActiveSupport::Inflector#camelize
  0.06      0.00     0.00     0.00     0.00        1  Set#each
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Integration::ControllerCapture::ClassMethods#new
  0.06      0.00     0.00     0.00     0.00        1  ActionView::Template#to_s
  0.06      0.00     0.00     0.00     0.00        2  ActionController::Base#session
  0.06      0.00     0.00     0.00     0.00        1  ActionController::RackRequest#initialize
  0.06      0.00     0.00     0.00     0.00        1  ActionController::AbstractResponse#etag=
  0.06      0.01     0.00     0.00     0.01        1  ActionController::SessionManagement#process_without_test
  0.06      0.00     0.00     0.00     0.00        1  ActiveSupport::CoreExtensions::Time::Conversions#to_s
  0.06      0.00     0.00     0.00     0.00        1  ActionController::AbstractResponse#set_conditional_cache_control!
  0.06      0.00     0.00     0.00     0.00        1  ActionController::RackResponse#initialize
  0.06      0.00     0.00     0.00     0.00        2  ActionView::PathSet#[]
  0.06      0.00     0.00     0.00     0.00        7  Time#initialize
  0.06      0.00     0.00     0.00     0.00        4  <Object::Object>#[]
  0.06      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#body
  0.06      0.00     0.00     0.00     0.00        1  ActionController::AbstractResponse#default_charset
  0.06      0.00     0.00     0.00     0.00        2  String#sub
  0.06      0.00     0.00     0.00     0.00        6  Array#first
  0.06      0.00     0.00     0.00     0.00        1  Module#append_features
  0.06      0.00     0.00     0.00     0.00        4  Array#eql?
  0.06      0.00     0.00     0.00     0.00        6  Array#last
  0.06      0.00     0.00     0.00     0.00        2  Kernel#sprintf
  0.06      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#query_string
  0.06      0.00     0.00     0.00     0.00        1  ActionView::Base#_evaluate_assigns_and_ivars
  0.05      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#_unmemoized_query_string
  0.05      0.00     0.00     0.00     0.00        1  Array#collect
  0.05      0.01     0.00     0.00     0.01        1  ActionController::Caching::SqlCache#perform_action
  0.05      0.00     0.00     0.00     0.00        1  ActionView::Base::ProxyModule#include
  0.05      0.00     0.00     0.00     0.00        1  Kernel#instance_eval
  0.05      0.02     0.00     0.00     0.02        1  ActionController::Dispatcher#dispatch
  0.05      0.00     0.00     0.00     0.00        2  ActiveSupport::CoreExtensions::Array::Access#second
  0.05      0.00     0.00     0.00     0.00        1  ActiveSupport::Memoizable::Freezable#freeze
  0.05      0.00     0.00     0.00     0.00        1  ActionView::Template#path
  0.05      0.00     0.00     0.00     0.00        1  ActionController::SessionManagement#process_cleanup_without_components
  0.05      0.00     0.00     0.00     0.00        3  ActionController::CGIWrapper#env_table
  0.05      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#_unmemoized_request_uri
  0.05      0.00     0.00     0.00     0.00        1  ActiveSupport::CoreExtensions::String::Inflections#camelize
  0.05      0.00     0.00     0.00     0.00        1  Hash#each_key
  0.05      0.00     0.00     0.00     0.00        1  Benchmark::Tms#initialize
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Layout#action_has_layout?
  0.05      0.00     0.00     0.00     0.00        7  String#concat
  0.05      0.00     0.00     0.00     0.00        1  ActionController::AbstractResponse#charset=
  0.05      0.00     0.00     0.00     0.00        1  Time#strftime
  0.05      0.00     0.00     0.00     0.00        2  <Module::Benchmark>#times
  0.05      0.00     0.00     0.00     0.00        3  <Class::ActionController::Base>#controller_path
  0.05      0.00     0.00     0.00     0.00        3  String#sub!
  0.05      0.00     0.00     0.00     0.00        1  Set#include?
  0.05      0.00     0.00     0.00     0.00        1  Array#reverse_each
  0.05      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#ssl?
  0.05      0.00     0.00     0.00     0.00        2  Kernel#dup
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Base#assign_names
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Layout::ClassMethods#default_layout
  0.04      0.00     0.00     0.00     0.00        2  Array#include?
  0.04      0.00     0.00     0.00     0.00        3  ActionController::Base#performed?
  0.04      0.00     0.00     0.00     0.00        1  CGI::Session#close
  0.04      0.00     0.00     0.00     0.00        6  Time#to_f
  0.04      0.00     0.00     0.00     0.00        1  <Class::ActionView::PathSet>#type_cast
  0.04      0.00     0.00     0.00     0.00        1  Module#blankslate_original_append_features
  0.04      0.00     0.00     0.00     0.00        6  Kernel#object_id
  0.04      0.00     0.00     0.00     0.00        3  Array#pack
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Filters::ClassMethods#filter_chain
  0.04      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#raw_host_with_port
  0.04      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#view_paths
  0.04      0.01     0.00     0.00     0.01        1  ActionController::Filters::InstanceMethods#process_without_session_management_support
  0.04      0.00     0.00     0.00     0.00        4  String#tr
  0.04      0.00     0.00     0.00     0.00        2  ActionController::Integration::ControllerCapture::ClassMethods#last_instantiation
  0.04      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#parse_formatted_request_parameters
